,y_bad
257,1
512,0
593,1
658,0
860,0
986,0
718,0
35,1
672,0
532,0
715,0
122,0
272,0
186,1
849,1
181,1
180,1
933,0
734,0
432,0
302,1
387,0
179,0
701,1
761,1
666,0
967,0
721,1
804,0
211,0
709,0
43,0
900,1
499,0
589,1
599,0
324,0
758,0
603,1
696,0
952,1
44,1
663,0
153,0
98,0
577,0
539,0
865,0
962,0
280,0
643,0
498,0
467,0
267,0
757,1
116,1
517,1
818,0
903,0
73,0
845,0
692,0
398,1
541,0
165,0
220,0
740,0
67,0
474,1
607,1
45,0
215,0
594,1
839,0
375,1
838,0
647,1
830,0
364,1
299,0
453,0
19,0
56,1
222,0
445,0
566,1
504,1
550,0
14,0
316,0
129,1
937,0
551,0
102,0
347,0
978,1
779,0
825,0
828,1
689,0
660,0
455,0
253,0
569,1
337,1
597,1
306,0
401,0
175,1
296,0
778,0
625,0
350,0
555,1
252,1
392,0
775,1
248,0
786,0
642,1
362,0
885,1
12,0
451,0
369,0
635,0
673,0
679,0
842,1
114,0
256,0
648,1
704,0
61,0
670,0
270,0
883,0
644,0
564,0
831,1
988,0
793,0
349,1
322,0
413,0
370,0
103,0
633,1
298,0
292,0
948,1
926,0
716,0
289,1
158,0
827,1
908,0
147,0
20,0
543,1
649,1
817,0
531,1
730,0
228,1
691,0
363,0
90,0
462,0
760,0
578,1
797,0
354,0
557,1
439,1
232,0
545,1
965,0
993,0
851,0
955,0
651,1
263,0
794,0
315,1
326,0
365,0
468,0
645,1
40,0
343,0
412,1
941,0
307,1
380,0
360,0
231,0
556,1
208,0
657,0
846,1
27,0
853,1
801,0
492,0
420,0
752,0
312,0
923,0
992,0
747,1
864,1
335,1
519,0
654,0
525,0
585,1
502,0
276,0
96,0
656,1
699,0
930,0
86,0
744,0
619,0
528,1
790,1
782,0
586,0
891,0
674,1
427,0
815,0
187,0
390,0
868,0
42,0
131,1
887,1
358,0
201,0
614,1
160,0
622,1
606,0
11,1
481,0
37,1
193,0
85,0
184,1
288,0
949,1
282,0
247,0
441,0
325,0
618,1
690,0
991,0
24,0
929,0
869,0
884,1
374,1
533,0
554,0
522,1
591,0
203,1
170,1
854,0
743,0
738,0
216,0
285,0
124,1
537,0
54,1
713,0
997,0
84,0
283,0
899,1
912,0
820,0
964,0
286,0
928,0
714,1
558,1
134,0
559,1
342,0
921,0
574,0
712,0
489,0
915,1
571,0
795,0
245,0
979,1
13,1
796,1
259,0
163,0
490,0
668,1
243,0
595,1
871,0
234,0
722,1
588,1
835,1
980,1
781,0
261,0
25,0
399,0
867,0
745,0
985,0
303,0
570,1
241,0
311,0
393,0
340,0
703,0
192,1
800,0
742,0
640,1
939,0
223,0
415,0
185,0
443,1
834,1
807,0
821,0
524,0
516,0
94,0
698,0
898,0
972,1
450,0
695,0
987,0
188,1
947,0
951,1
82,0
258,0
407,0
95,1
505,1
641,0
806,0
83,0
437,0
700,1
290,0
168,0
459,0
809,1
105,1
461,0
823,0
396,0
763,1
723,0
874,0
943,0
822,1
447,0
88,0
950,0
271,0
177,0
361,0
565,0
514,0
506,0
754,1
388,0
68,1
149,0
765,0
922,1
901,0
687,0
486,0
118,1
909,0
452,0
483,0
71,0
154,0
637,0
313,1
491,1
176,0
151,0
265,1
239,0
560,0
501,0
