model,threshold,tn,fp,fn,tp,precision,recall,fpr
Logistic,0.05,27,113,2,58,0.3391812865497076,0.9666666666666667,0.8071428571428572
L1 Logistic,0.05,25,115,1,59,0.3390804597701149,0.9833333333333333,0.8214285714285714
Logistic,0.1,53,87,4,56,0.3916083916083916,0.9333333333333333,0.6214285714285714
L1 Logistic,0.1,49,91,4,56,0.38095238095238093,0.9333333333333333,0.65
Logistic,0.2,83,57,12,48,0.45714285714285713,0.8,0.40714285714285714
L1 Logistic,0.2,84,56,13,47,0.4563106796116505,0.7833333333333333,0.4
Logistic,0.3,105,35,18,42,0.5454545454545454,0.7,0.25
L1 Logistic,0.3,102,38,18,42,0.525,0.7,0.2714285714285714
Logistic,0.5,119,21,28,32,0.6037735849056604,0.5333333333333333,0.15
L1 Logistic,0.5,121,19,25,35,0.6481481481481481,0.5833333333333334,0.1357142857142857
